O_ORDERKEY,O_ORDERDATE,O_TOTALPRICE,O_ORDERSTATUS,O_ORDERPRIORITY,CUSTOMER_NAME,MARKET_SEGMENT,NATION,REGION
1247234,1992-01-01,48177.60,F,1-URGENT,Customer#000103238,MACHINERY,ROMANIA,EUROPE
1401891,1992-01-01,61829.17,F,3-MEDIUM,Customer#000005509,MACHINERY,EGYPT,MIDDLE EAST
4031011,1992-01-01,49104.47,F,3-MEDIUM,Customer#000047971,BUILDING,KENYA,AFRICA
1837095,1992-01-01,64670.94,F,3-MEDIUM,Customer#000043300,AUTOMOBILE,GERMANY,EUROPE
5688898,1992-01-01,133438.21,F,5-LOW,Customer#000006422,HOUSEHOLD,BRAZIL,AMERICA
5165159,1992-01-01,163987.29,F,1-URGENT,Customer#000141004,HOUSEHOLD,IRAN,MIDDLE EAST
3518178,1992-01-01,33664.11,F,3-MEDIUM,Customer#000018968,HOUSEHOLD,GERMANY,EUROPE
441253,1992-01-01,182521.99,F,2-HIGH,Customer#000083678,AUTOMOBILE,ALGERIA,AFRICA
4667937,1992-01-01,63863.22,F,4-NOT SPECIFIED,Customer#000138505,MACHINERY,MOROCCO,AFRICA
5326274,1992-01-01,54695.19,F,1-URGENT,Customer#000099784,AUTOMOBILE,UNITED KINGDOM,EUROPE
5663939,1992-01-01,210956.69,F,2-HIGH,Customer#000049988,BUILDING,MOROCCO,AFRICA
5277504,1992-01-01,54221.28,F,2-HIGH,Customer#000038828,FURNITURE,CHINA,ASIA
3266373,1992-01-01,149745.24,F,4-NOT SPECIFIED,Customer#000068126,BUILDING,JAPAN,ASIA
4204423,1992-01-01,164002.21,F,1-URGENT,Customer#000047534,AUTOMOBILE,ALGERIA,AFRICA
4376420,1992-01-01,254440.84,F,4-NOT SPECIFIED,Customer#000009799,HOUSEHOLD,GERMANY,EUROPE
2643653,1992-01-01,88713.44,F,3-MEDIUM,Customer#000126457,BUILDING,CHINA,ASIA
2741217,1992-01-01,162804.34,F,5-LOW,Customer#000010252,FURNITURE,CHINA,ASIA
5073441,1992-01-01,373074.30,F,1-URGENT,Customer#000117568,BUILDING,UNITED STATES,AMERICA
2083685,1992-01-01,74430.49,F,2-HIGH,Customer#000095581,BUILDING,ETHIOPIA,AFRICA
1133666,1992-01-01,228354.84,F,1-URGENT,Customer#000122833,AUTOMOBILE,SAUDI ARABIA,MIDDLE EAST
1608033,1992-01-01,27580.78,F,4-NOT SPECIFIED,Customer#000091699,AUTOMOBILE,SAUDI ARABIA,MIDDLE EAST
4649571,1992-01-01,70615.62,F,2-HIGH,Customer#000138610,MACHINERY,MOROCCO,AFRICA
1719271,1992-01-01,60889.56,F,1-URGENT,Customer#000046345,BUILDING,ARGENTINA,AMERICA
3053511,1992-01-01,4663.66,F,4-NOT SPECIFIED,Customer#000011788,BUILDING,ROMANIA,EUROPE
5185474,1992-01-01,41299.00,F,3-MEDIUM,Customer#000034390,FURNITURE,MOROCCO,AFRICA
656230,1992-01-01,132230.78,F,3-MEDIUM,Customer#000134236,BUILDING,PERU,AMERICA
1006694,1992-01-01,72103.29,F,4-NOT SPECIFIED,Customer#000056521,BUILDING,ALGERIA,AFRICA
5287876,1992-01-01,59111.99,F,2-HIGH,Customer#000061312,BUILDING,CHINA,ASIA
4435329,1992-01-01,42314.46,F,2-HIGH,Customer#000024727,BUILDING,ROMANIA,EUROPE
1038022,1992-01-01,74167.19,F,4-NOT SPECIFIED,Customer#000067475,HOUSEHOLD,JAPAN,ASIA
3172390,1992-01-01,187398.07,F,5-LOW,Customer#000031013,FURNITURE,ETHIOPIA,AFRICA
4055584,1992-01-01,62959.75,F,1-URGENT,Customer#000065296,FURNITURE,ARGENTINA,AMERICA
2992996,1992-01-01,93559.29,F,1-URGENT,Customer#000113594,AUTOMOBILE,INDONESIA,ASIA
2977088,1992-01-01,173651.65,F,4-NOT SPECIFIED,Customer#000031831,HOUSEHOLD,IRAN,MIDDLE EAST
4953216,1992-01-01,161867.47,F,2-HIGH,Customer#000063443,AUTOMOBILE,EGYPT,MIDDLE EAST
2144770,1992-01-01,151534.01,F,4-NOT SPECIFIED,Customer#000073481,AUTOMOBILE,RUSSIA,EUROPE
2534624,1992-01-01,188523.28,F,2-HIGH,Customer#000137477,BUILDING,PERU,AMERICA
4697030,1992-01-01,165295.28,F,4-NOT SPECIFIED,Customer#000072215,FURNITURE,JAPAN,ASIA
4967591,1992-01-01,244459.88,F,3-MEDIUM,Customer#000047392,MACHINERY,ALGERIA,AFRICA
4764353,1992-01-01,283692.30,F,4-NOT SPECIFIED,Customer#000043373,AUTOMOBILE,INDONESIA,ASIA
2109282,1992-01-01,336524.54,F,2-HIGH,Customer#000117200,FURNITURE,MOZAMBIQUE,AFRICA
4224195,1992-01-01,1611.56,F,4-NOT SPECIFIED,Customer#000109165,AUTOMOBILE,UNITED STATES,AMERICA
5230983,1992-01-01,118659.19,F,2-HIGH,Customer#000017825,AUTOMOBILE,ETHIOPIA,AFRICA
176768,1992-01-01,378570.27,F,1-URGENT,Customer#000112850,HOUSEHOLD,KENYA,AFRICA
5782625,1992-01-01,159569.58,F,3-MEDIUM,Customer#000145031,HOUSEHOLD,SAUDI ARABIA,MIDDLE EAST
4505796,1992-01-01,134879.74,F,3-MEDIUM,Customer#000051283,MACHINERY,CHINA,ASIA
5419109,1992-01-01,254202.69,F,5-LOW,Customer#000091057,FURNITURE,ALGERIA,AFRICA
1913443,1992-01-01,341542.98,F,4-NOT SPECIFIED,Customer#000132799,AUTOMOBILE,MOROCCO,AFRICA
5969254,1992-01-01,101115.76,F,5-LOW,Customer#000098558,MACHINERY,IRAN,MIDDLE EAST
2284740,1992-01-01,138569.34,F,3-MEDIUM,Customer#000140584,MACHINERY,BRAZIL,AMERICA
2048934,1992-01-01,174743.54,F,4-NOT SPECIFIED,Customer#000098677,BUILDING,EGYPT,MIDDLE EAST
1974598,1992-01-01,166542.39,F,1-URGENT,Customer#000123511,HOUSEHOLD,CANADA,AMERICA
5775681,1992-01-01,136673.28,F,4-NOT SPECIFIED,Customer#000133768,MACHINERY,JORDAN,MIDDLE EAST
3163814,1992-01-01,135167.16,F,3-MEDIUM,Customer#000060544,MACHINERY,VIETNAM,ASIA
1285220,1992-01-01,336196.56,F,3-MEDIUM,Customer#000131153,MACHINERY,GERMANY,EUROPE
795073,1992-01-01,239786.72,F,1-URGENT,Customer#000083155,AUTOMOBILE,RUSSIA,EUROPE
5998247,1992-01-01,210703.01,F,1-URGENT,Customer#000014444,AUTOMOBILE,BRAZIL,AMERICA
4262209,1992-01-01,108443.93,F,4-NOT SPECIFIED,Customer#000092453,HOUSEHOLD,ALGERIA,AFRICA
1104708,1992-01-01,245667.49,F,3-MEDIUM,Customer#000048770,FURNITURE,RUSSIA,EUROPE
706371,1992-01-01,13231.12,F,1-URGENT,Customer#000073999,MACHINERY,MOROCCO,AFRICA
3626148,1992-01-01,199201.54,F,1-URGENT,Customer#000048725,MACHINERY,UNITED KINGDOM,EUROPE
1880321,1992-01-01,6898.30,F,1-URGENT,Customer#000016021,MACHINERY,JORDAN,MIDDLE EAST
3182115,1992-01-01,176247.51,F,2-HIGH,Customer#000074683,MACHINERY,EGYPT,MIDDLE EAST
3839363,1992-01-01,89432.32,F,3-MEDIUM,Customer#000090862,HOUSEHOLD,EGYPT,MIDDLE EAST
249668,1992-01-01,39757.18,F,2-HIGH,Customer#000115781,AUTOMOBILE,ETHIOPIA,AFRICA
727232,1992-01-01,105953.38,F,3-MEDIUM,Customer#000025193,HOUSEHOLD,RUSSIA,EUROPE
1123776,1992-01-01,22386.32,F,3-MEDIUM,Customer#000055729,MACHINERY,JAPAN,ASIA
5520036,1992-01-01,177395.28,F,5-LOW,Customer#000005674,MACHINERY,SAUDI ARABIA,MIDDLE EAST
463072,1992-01-01,369552.45,F,1-URGENT,Customer#000054256,HOUSEHOLD,GERMANY,EUROPE
5653190,1992-01-01,107722.87,F,4-NOT SPECIFIED,Customer#000017830,AUTOMOBILE,ARGENTINA,AMERICA
2069926,1992-01-01,83426.49,F,5-LOW,Customer#000029233,BUILDING,CHINA,ASIA
5566467,1992-01-01,215596.54,F,3-MEDIUM,Customer#000005240,HOUSEHOLD,UNITED KINGDOM,EUROPE
5660774,1992-01-01,107817.53,F,1-URGENT,Customer#000053731,HOUSEHOLD,RUSSIA,EUROPE
4606436,1992-01-01,116278.04,F,5-LOW,Customer#000043774,AUTOMOBILE,CANADA,AMERICA
5205888,1992-01-01,59350.55,F,3-MEDIUM,Customer#000125902,HOUSEHOLD,FRANCE,EUROPE
1399905,1992-01-01,171569.00,F,1-URGENT,Customer#000143111,FURNITURE,VIETNAM,ASIA
1377542,1992-01-01,387570.61,F,4-NOT SPECIFIED,Customer#000067691,MACHINERY,KENYA,AFRICA
175975,1992-01-01,285691.00,F,2-HIGH,Customer#000007511,HOUSEHOLD,EGYPT,MIDDLE EAST
4227367,1992-01-01,243428.91,F,3-MEDIUM,Customer#000017074,FURNITURE,UNITED STATES,AMERICA
5431079,1992-01-01,163143.97,F,1-URGENT,Customer#000081157,MACHINERY,CHINA,ASIA
4813991,1992-01-01,11780.20,F,5-LOW,Customer#000047009,HOUSEHOLD,SAUDI ARABIA,MIDDLE EAST
5613031,1992-01-01,70330.21,F,4-NOT SPECIFIED,Customer#000049306,BUILDING,VIETNAM,ASIA
5672545,1992-01-01,144768.27,F,5-LOW,Customer#000114925,BUILDING,UNITED KINGDOM,EUROPE
5497253,1992-01-01,134073.29,F,3-MEDIUM,Customer#000146203,MACHINERY,ROMANIA,EUROPE
3654977,1992-01-01,359017.57,F,4-NOT SPECIFIED,Customer#000104146,FURNITURE,GERMANY,EUROPE
5729347,1992-01-01,66694.33,F,5-LOW,Customer#000055819,MACHINERY,IRAN,MIDDLE EAST
4390050,1992-01-01,64785.58,F,5-LOW,Customer#000046304,BUILDING,UNITED STATES,AMERICA
2185830,1992-01-01,187083.34,F,1-URGENT,Customer#000061324,FURNITURE,IRAQ,MIDDLE EAST
4847269,1992-01-01,134017.51,F,4-NOT SPECIFIED,Customer#000145130,FURNITURE,UNITED KINGDOM,EUROPE
4848802,1992-01-01,260781.53,F,5-LOW,Customer#000053111,FURNITURE,RUSSIA,EUROPE
3608804,1992-01-01,116625.99,F,2-HIGH,Customer#000109663,BUILDING,MOROCCO,AFRICA
1832480,1992-01-01,58617.15,F,1-URGENT,Customer#000070841,BUILDING,JORDAN,MIDDLE EAST
5559747,1992-01-01,210745.87,F,3-MEDIUM,Customer#000040342,HOUSEHOLD,VIETNAM,ASIA
3584578,1992-01-01,241830.94,F,5-LOW,Customer#000051349,HOUSEHOLD,EGYPT,MIDDLE EAST
3454183,1992-01-01,215028.44,F,2-HIGH,Customer#000040573,AUTOMOBILE,FRANCE,EUROPE
639553,1992-01-01,170266.70,F,5-LOW,Customer#000109993,FURNITURE,ROMANIA,EUROPE
3537221,1992-01-01,182533.08,F,5-LOW,Customer#000073198,AUTOMOBILE,VIETNAM,ASIA
4844614,1992-01-01,332010.44,F,5-LOW,Customer#000061484,FURNITURE,UNITED STATES,AMERICA
3552900,1992-01-01,240868.93,F,2-HIGH,Customer#000060383,MACHINERY,JORDAN,MIDDLE EAST
1304070,1992-01-01,215548.64,F,2-HIGH,Customer#000007999,FURNITURE,CHINA,ASIA
1255365,1992-01-01,127306.02,F,4-NOT SPECIFIED,Customer#000107173,MACHINERY,CHINA,ASIA
2526177,1992-01-01,73562.25,F,5-LOW,Customer#000063160,BUILDING,INDONESIA,ASIA
2303527,1992-01-01,224225.71,F,4-NOT SPECIFIED,Customer#000027770,BUILDING,UNITED KINGDOM,EUROPE
913152,1992-01-01,264990.40,F,5-LOW,Customer#000087788,FURNITURE,CANADA,AMERICA
5781479,1992-01-01,13949.47,F,5-LOW,Customer#000065527,AUTOMOBILE,PERU,AMERICA
2543170,1992-01-01,193343.04,F,4-NOT SPECIFIED,Customer#000135391,BUILDING,ARGENTINA,AMERICA
302497,1992-01-01,290252.88,F,1-URGENT,Customer#000133474,AUTOMOBILE,BRAZIL,AMERICA
4513792,1992-01-01,256472.66,F,4-NOT SPECIFIED,Customer#000144545,AUTOMOBILE,ETHIOPIA,AFRICA
874625,1992-01-01,36341.42,F,4-NOT SPECIFIED,Customer#000102112,FURNITURE,ARGENTINA,AMERICA
1054181,1992-01-01,197231.04,F,5-LOW,Customer#000139421,FURNITURE,KENYA,AFRICA
5383875,1992-01-01,36154.62,F,4-NOT SPECIFIED,Customer#000048292,AUTOMOBILE,SAUDI ARABIA,MIDDLE EAST
1794374,1992-01-01,276503.67,F,5-LOW,Customer#000035326,AUTOMOBILE,VIETNAM,ASIA
5051174,1992-01-01,98298.58,F,5-LOW,Customer#000009581,HOUSEHOLD,GERMANY,EUROPE
5283303,1992-01-01,323197.59,F,5-LOW,Customer#000054475,HOUSEHOLD,IRAN,MIDDLE EAST
1875747,1992-01-01,218918.07,F,4-NOT SPECIFIED,Customer#000114898,MACHINERY,MOROCCO,AFRICA
161954,1992-01-01,185276.67,F,3-MEDIUM,Customer#000127711,AUTOMOBILE,GERMANY,EUROPE
1559970,1992-01-01,297242.75,F,4-NOT SPECIFIED,Customer#000060217,BUILDING,PERU,AMERICA
1211207,1992-01-01,141243.35,F,4-NOT SPECIFIED,Customer#000062329,MACHINERY,UNITED STATES,AMERICA
1110658,1992-01-01,83975.51,F,1-URGENT,Customer#000093866,AUTOMOBILE,ETHIOPIA,AFRICA
1069285,1992-01-01,175112.11,F,1-URGENT,Customer#000128716,FURNITURE,PERU,AMERICA
3440037,1992-01-01,108481.67,F,1-URGENT,Customer#000002504,BUILDING,FRANCE,EUROPE
4550146,1992-01-01,178496.00,F,4-NOT SPECIFIED,Customer#000128497,AUTOMOBILE,CANADA,AMERICA
3608005,1992-01-01,92809.66,F,2-HIGH,Customer#000125365,AUTOMOBILE,RUSSIA,EUROPE
4804226,1992-01-01,134070.93,F,5-LOW,Customer#000007403,HOUSEHOLD,KENYA,AFRICA
5885633,1992-01-01,191812.25,F,1-URGENT,Customer#000071485,MACHINERY,JORDAN,MIDDLE EAST
964006,1992-01-01,145524.76,F,3-MEDIUM,Customer#000009118,AUTOMOBILE,CANADA,AMERICA
821696,1992-01-01,121228.25,F,2-HIGH,Customer#000041077,AUTOMOBILE,FRANCE,EUROPE
4880773,1992-01-01,170410.46,F,4-NOT SPECIFIED,Customer#000015901,MACHINERY,MOROCCO,AFRICA
4868679,1992-01-01,236159.87,F,5-LOW,Customer#000102253,FURNITURE,CANADA,AMERICA
4522082,1992-01-01,270220.33,F,5-LOW,Customer#000033646,BUILDING,IRAN,MIDDLE EAST
4582561,1992-01-01,213904.02,F,4-NOT SPECIFIED,Customer#000036779,AUTOMOBILE,KENYA,AFRICA
560930,1992-01-01,258184.79,F,3-MEDIUM,Customer#000025048,FURNITURE,UNITED STATES,AMERICA
5863808,1992-01-01,260875.08,F,3-MEDIUM,Customer#000093251,BUILDING,UNITED KINGDOM,EUROPE
1215648,1992-01-01,136402.86,F,4-NOT SPECIFIED,Customer#000135569,MACHINERY,CANADA,AMERICA
3737891,1992-01-01,158735.30,F,3-MEDIUM,Customer#000013330,FURNITURE,IRAN,MIDDLE EAST
3240576,1992-01-01,214460.81,F,4-NOT SPECIFIED,Customer#000034246,BUILDING,CHINA,ASIA
857472,1992-01-01,343864.30,F,3-MEDIUM,Customer#000097922,AUTOMOBILE,CANADA,AMERICA
339300,1992-01-01,315182.87,F,4-NOT SPECIFIED,Customer#000044791,AUTOMOBILE,ETHIOPIA,AFRICA
1244838,1992-01-01,202577.28,F,4-NOT SPECIFIED,Customer#000058181,BUILDING,ROMANIA,EUROPE
4749669,1992-01-01,68207.98,F,4-NOT SPECIFIED,Customer#000088795,HOUSEHOLD,JORDAN,MIDDLE EAST
2505350,1992-01-01,128241.82,F,4-NOT SPECIFIED,Customer#000094019,FURNITURE,BRAZIL,AMERICA
2913059,1992-01-01,312585.95,F,1-URGENT,Customer#000078763,HOUSEHOLD,UNITED STATES,AMERICA
4681636,1992-01-01,122067.55,F,3-MEDIUM,Customer#000126137,BUILDING,CANADA,AMERICA
5104800,1992-01-01,208199.37,F,5-LOW,Customer#000105944,MACHINERY,VIETNAM,ASIA
3954465,1992-01-01,50896.00,F,3-MEDIUM,Customer#000083902,MACHINERY,SAUDI ARABIA,MIDDLE EAST
2569185,1992-01-01,52506.92,F,2-HIGH,Customer#000041092,HOUSEHOLD,ARGENTINA,AMERICA
5922213,1992-01-01,120033.79,F,3-MEDIUM,Customer#000088210,HOUSEHOLD,KENYA,AFRICA
1685828,1992-01-01,140888.13,F,1-URGENT,Customer#000053842,BUILDING,ETHIOPIA,AFRICA
3870533,1992-01-01,117573.13,F,4-NOT SPECIFIED,Customer#000038558,FURNITURE,VIETNAM,ASIA
5390343,1992-01-01,263930.64,F,5-LOW,Customer#000131869,FURNITURE,PERU,AMERICA
3042913,1992-01-01,134965.04,F,3-MEDIUM,Customer#000051220,BUILDING,MOROCCO,AFRICA
5825536,1992-01-01,104929.66,F,4-NOT SPECIFIED,Customer#000014428,FURNITURE,ROMANIA,EUROPE
2153317,1992-01-01,289367.20,F,4-NOT SPECIFIED,Customer#000010762,HOUSEHOLD,UNITED STATES,AMERICA
5551524,1992-01-01,252718.44,F,3-MEDIUM,Customer#000076079,BUILDING,JAPAN,ASIA
4443042,1992-01-01,127646.50,F,4-NOT SPECIFIED,Customer#000089728,BUILDING,UNITED STATES,AMERICA
5644391,1992-01-01,30414.09,F,2-HIGH,Customer#000100300,HOUSEHOLD,IRAN,MIDDLE EAST
4861346,1992-01-01,164391.91,F,3-MEDIUM,Customer#000120718,FURNITURE,IRAN,MIDDLE EAST
1070688,1992-01-01,20109.29,F,2-HIGH,Customer#000036031,FURNITURE,JORDAN,MIDDLE EAST
45697,1992-01-01,345167.47,F,4-NOT SPECIFIED,Customer#000109417,FURNITURE,FRANCE,EUROPE
5051553,1992-01-01,57066.85,F,2-HIGH,Customer#000081523,FURNITURE,FRANCE,EUROPE
1139266,1992-01-01,29148.58,F,4-NOT SPECIFIED,Customer#000017032,BUILDING,ARGENTINA,AMERICA
3421223,1992-01-01,106203.69,F,3-MEDIUM,Customer#000125926,MACHINERY,VIETNAM,ASIA
1782787,1992-01-01,225309.30,F,2-HIGH,Customer#000078266,MACHINERY,SAUDI ARABIA,MIDDLE EAST
5984835,1992-01-01,114833.87,F,5-LOW,Customer#000093515,MACHINERY,CHINA,ASIA
2033824,1992-01-01,60916.14,F,3-MEDIUM,Customer#000082363,FURNITURE,EGYPT,MIDDLE EAST
3558821,1992-01-01,28424.16,F,1-URGENT,Customer#000019513,BUILDING,CHINA,ASIA
1639335,1992-01-01,131756.60,F,2-HIGH,Customer#000132481,AUTOMOBILE,MOZAMBIQUE,AFRICA
515077,1992-01-01,289937.73,F,1-URGENT,Customer#000118834,HOUSEHOLD,VIETNAM,ASIA
621763,1992-01-01,47678.50,F,2-HIGH,Customer#000042481,FURNITURE,JAPAN,ASIA
3897508,1992-01-01,106700.78,F,2-HIGH,Customer#000081665,FURNITURE,RUSSIA,EUROPE
1049991,1992-01-01,176702.59,F,4-NOT SPECIFIED,Customer#000125006,HOUSEHOLD,ARGENTINA,AMERICA
2323621,1992-01-01,321537.56,F,3-MEDIUM,Customer#000063367,FURNITURE,ROMANIA,EUROPE
1059425,1992-01-01,104080.64,F,1-URGENT,Customer#000110114,FURNITURE,VIETNAM,ASIA
2843298,1992-01-01,31236.18,F,3-MEDIUM,Customer#000116423,MACHINERY,SAUDI ARABIA,MIDDLE EAST
5416230,1992-01-01,25396.14,F,2-HIGH,Customer#000147377,FURNITURE,INDONESIA,ASIA
37543,1992-01-01,178835.23,F,3-MEDIUM,Customer#000124229,AUTOMOBILE,EGYPT,MIDDLE EAST
5628998,1992-01-01,163647.60,F,4-NOT SPECIFIED,Customer#000049814,BUILDING,JAPAN,ASIA
5660483,1992-01-01,32779.35,F,3-MEDIUM,Customer#000003583,FURNITURE,IRAQ,MIDDLE EAST
2882052,1992-01-01,146383.78,F,2-HIGH,Customer#000092074,MACHINERY,VIETNAM,ASIA
3009031,1992-01-01,71486.58,F,4-NOT SPECIFIED,Customer#000101677,BUILDING,MOROCCO,AFRICA
3668544,1992-01-01,277817.36,F,4-NOT SPECIFIED,Customer#000088306,MACHINERY,ARGENTINA,AMERICA
27015,1992-01-01,41753.82,F,5-LOW,Customer#000010954,BUILDING,ARGENTINA,AMERICA
5468352,1992-01-01,110782.99,F,1-URGENT,Customer#000035152,MACHINERY,CANADA,AMERICA
5742180,1992-01-01,82743.88,F,4-NOT SPECIFIED,Customer#000016432,HOUSEHOLD,MOROCCO,AFRICA
904677,1992-01-01,131999.75,F,2-HIGH,Customer#000003043,MACHINERY,UNITED STATES,AMERICA
2746852,1992-01-01,176804.44,F,3-MEDIUM,Customer#000113309,AUTOMOBILE,IRAQ,MIDDLE EAST
2559431,1992-01-01,232252.58,F,3-MEDIUM,Customer#000088238,FURNITURE,IRAN,MIDDLE EAST
3907655,1992-01-01,79666.39,F,1-URGENT,Customer#000149806,HOUSEHOLD,BRAZIL,AMERICA
2712033,1992-01-01,87136.11,F,5-LOW,Customer#000057046,HOUSEHOLD,JAPAN,ASIA
5235042,1992-01-01,265760.19,F,5-LOW,Customer#000140920,BUILDING,IRAN,MIDDLE EAST
4227684,1992-01-01,91077.37,F,3-MEDIUM,Customer#000117512,BUILDING,CHINA,ASIA
1430276,1992-01-01,135707.63,F,4-NOT SPECIFIED,Customer#000044831,BUILDING,JAPAN,ASIA
4280615,1992-01-01,185167.91,F,1-URGENT,Customer#000009937,AUTOMOBILE,ALGERIA,AFRICA
2469159,1992-01-01,73871.65,F,4-NOT SPECIFIED,Customer#000132268,HOUSEHOLD,ETHIOPIA,AFRICA
1157222,1992-01-01,236288.52,F,1-URGENT,Customer#000018431,MACHINERY,JORDAN,MIDDLE EAST
3142627,1992-01-01,147497.49,F,1-URGENT,Customer#000030505,MACHINERY,INDONESIA,ASIA
5586306,1992-01-01,80531.02,F,1-URGENT,Customer#000147610,HOUSEHOLD,IRAN,MIDDLE EAST
1298054,1992-01-01,196577.07,F,3-MEDIUM,Customer#000125599,BUILDING,VIETNAM,ASIA
1132739,1992-01-01,264146.93,F,4-NOT SPECIFIED,Customer#000139438,HOUSEHOLD,INDIA,ASIA
1290816,1992-01-01,45694.30,F,1-URGENT,Customer#000097643,HOUSEHOLD,FRANCE,EUROPE
5493955,1992-01-01,278531.67,F,3-MEDIUM,Customer#000030973,BUILDING,ROMANIA,EUROPE
458982,1992-01-01,231687.66,F,1-URGENT,Customer#000102265,BUILDING,CANADA,AMERICA
2884131,1992-01-01,135012.69,F,5-LOW,Customer#000055306,FURNITURE,IRAQ,MIDDLE EAST
3363171,1992-01-01,23994.94,F,1-URGENT,Customer#000050245,AUTOMOBILE,ALGERIA,AFRICA
1929409,1992-01-01,96761.03,F,5-LOW,Customer#000136064,FURNITURE,UNITED STATES,AMERICA
2391552,1992-01-01,203035.46,F,2-HIGH,Customer#000013075,MACHINERY,KENYA,AFRICA
1585734,1992-01-01,71204.97,F,3-MEDIUM,Customer#000064717,FURNITURE,ROMANIA,EUROPE
2325219,1992-01-01,161218.43,F,2-HIGH,Customer#000097931,AUTOMOBILE,CHINA,ASIA
4998912,1992-01-01,197232.78,F,4-NOT SPECIFIED,Customer#000047822,BUILDING,IRAQ,MIDDLE EAST
3919623,1992-01-01,146704.15,F,2-HIGH,Customer#000074039,BUILDING,RUSSIA,EUROPE
414725,1992-01-01,26960.83,F,5-LOW,Customer#000034972,HOUSEHOLD,CANADA,AMERICA
2343683,1992-01-01,210016.79,F,5-LOW,Customer#000079987,AUTOMOBILE,INDIA,ASIA
3583684,1992-01-01,172242.95,F,1-URGENT,Customer#000079039,BUILDING,JORDAN,MIDDLE EAST
5757698,1992-01-01,162025.64,F,3-MEDIUM,Customer#000059842,FURNITURE,UNITED KINGDOM,EUROPE
4137536,1992-01-01,253988.65,F,3-MEDIUM,Customer#000092660,MACHINERY,RUSSIA,EUROPE
115585,1992-01-01,201582.36,F,3-MEDIUM,Customer#000143335,MACHINERY,JORDAN,MIDDLE EAST
4578720,1992-01-01,167494.85,F,4-NOT SPECIFIED,Customer#000036575,AUTOMOBILE,UNITED STATES,AMERICA
2913477,1992-01-01,17771.85,F,1-URGENT,Customer#000069802,AUTOMOBILE,MOROCCO,AFRICA
3265059,1992-01-01,237794.16,F,4-NOT SPECIFIED,Customer#000046442,MACHINERY,KENYA,AFRICA
1203046,1992-01-01,327499.09,F,2-HIGH,Customer#000053731,HOUSEHOLD,RUSSIA,EUROPE
1868227,1992-01-01,123230.04,F,5-LOW,Customer#000147094,MACHINERY,UNITED STATES,AMERICA
1186308,1992-01-01,464569.20,F,1-URGENT,Customer#000023122,AUTOMOBILE,JORDAN,MIDDLE EAST
4473894,1992-01-01,230056.00,F,3-MEDIUM,Customer#000007408,HOUSEHOLD,EGYPT,MIDDLE EAST
5465024,1992-01-01,261629.71,F,3-MEDIUM,Customer#000084970,HOUSEHOLD,INDONESIA,ASIA
4097248,1992-01-01,61306.20,F,2-HIGH,Customer#000010945,FURNITURE,IRAN,MIDDLE EAST
5081635,1992-01-01,110395.41,F,5-LOW,Customer#000117493,AUTOMOBILE,KENYA,AFRICA
690274,1992-01-01,151055.28,F,5-LOW,Customer#000114347,MACHINERY,RUSSIA,EUROPE
1275397,1992-01-01,107936.11,F,3-MEDIUM,Customer#000035923,BUILDING,PERU,AMERICA
3657665,1992-01-01,212204.65,F,1-URGENT,Customer#000010867,FURNITURE,INDIA,ASIA
